매장명,전화번호,주소
세종 고운점 (오픈 예정),0,세종시 고운동
안양 호계점 (오픈 예정),0,경기도 안양시 동안구 호계동
서울 이수역점 (오픈 예정),0,서울시 동작구 사당동
안산 신길점 (오픈 예정),0,경기도 안산시 단원구 신길동
시흥 신천점 (오픈 예정),0,경기도 시흥시 신천동
서울 남부터미널점 (오픈 예정),0,서울시 서초구 서초동
부산 망미시장점 (오픈 예정),0,부산시 수영구 망미동
경북 도청점 (오픈 예정),0,경북 안동시 풍천면
파주 교하점 (오픈 예정),0,경기도 파주시 교하동
인천 아라점 (오픈 예정),0,인천시 서구 원당동
서울 서대문역점,02-733-1152,서울시 종로구 경교장길 35
군포 당동점,031-399-5897,경기 군포시 용호1로60번길 4
충남 대천해수욕장점,041-935-1259,충남 보령시 대해로 898
천안 두정점,041-566-7393,충남 천안시 서북구 두정동 1994
서울 중곡점,02-444-8892,서울시 광진구 중곡동 150-72
포항 양덕점,054-242-9688,경북 포항시 북구 양덕동 2078
나주 금천점 (오픈 예정),0,전남 나주시 금천면
전주 송천점,063-251-8200,전북 전주시 덕진구 솔내로 144
오창 1산단점,043-214-7778,충북 청주시 청원구 오창읍 중심상업1로 50
화천 산양점,033-442-0926,강원도 화천군 상서면 영서로 7719
인천 시민공원역점,032-872-2922,인천시 미추홀구 미추홀대로657번길 1
군산 축동로점 (오픈 예정),0,전북 군산시 수송동
울산 복산약사점,052-297-0101,울산시 중구 도화골길 17
수원 신동점 (오픈 예정),0,경기도 수원시 영통구 신동
서울 강서구청점,02-2696-8292,서울시 강서구 까치산로 157
김포 양곡점,031-8049-8958,경기도 김포시 양촌읍 양곡2로60번길 57
김포 구래점,031-989-8883,경기도 김포시 솔터로 22
서울 가산점,02-858-9003,서울시 금천구 가산로 89
평택 고덕로데오점,070-4833-9437,경기도 평택시 고덕국제대로 232
전주 인후점,063-244-7009,전북 전주시 덕진구 견훤로 413-1
청주 개신성화점,043-234-9982,충북 청주시 서원구 개신동 643
인천 도원역점,032-885-5943,인천시 중구 참외전로 260
경북 상주점,054-536-6779,경북 상주시 무양동 277-5
고양 라페스타점,031-932-1445,경기도 고양시 일산동구 장항동 764-1 C동 111호
서울 신정점,02-2699-3758,서울시 양천구 오목로 131
통영 죽림점,055-649-0303,경남 통영시 광도면 죽림2로 76-147
서울 구로구청점,02-6439-0101,서울시 구로구 가마산로 229
시흥 정왕1호점,031-499-1002,경기도 시흥시 정왕동 1731-21
청주 오송점,043-233-8255,충북 청주시 흥덕구 오송읍 봉산리 903
서울 구로디지털단지역점,02-853-5004,서울시 구로구 디지털로32가길 1
여수 미평점,061-691-9234,전남 여수시 봉계대곡길 70
수원 매교점,031-308-3200,경기도 수원시 팔달구 세지로174번길 5
용인 신봉점,031-889-8310,경기도 용인시 수지구 신봉1로 84
서울 증산점,02-303-1179,서울시 은평구 증산로15길 43
김천 교동신음점,054-435-8988,경북 김천시 교동택지5길 2
울진 죽변점,054-782-2008~9,경북 울진군 죽변면 죽변중앙로 111
고창 동호점,063-562-9001,전북 고창군 해리면 명사십리로 913
천안 나사렛대점,041-574-2353,충남 천안시 서북구 쌍용18길 11
충남 태안점,041-675-3252,충남 태안군 태안읍 동문5길 11-4
경남 창녕점,055-533-9285,경남 창녕군 창녕읍 송현리 268-1
평택 비전점,031-691-0303,경기도 평택시 평택5로20번길 34
대전 용운자양점,042-285-3392,대전시 동구 용운로 146-1
대구 지산점,053-781-7775,대구시 수성구 지산로11길 6
서울 가락점,02-3012-5777,서울시 송파구 송파대로30길 41-4
부산 구포점,051-343-7982,부산시 북구 모분재로 8
대구 구지점,053-262-8897,대구시 달성군 구지면 국가산단북로34길 10
안양 비산점,031-388-9979,경기도 안양시 동안구 경수대로884번길 20
횡성 둔내점,033-343-9073,강원도 횡성군 둔내면 고원로 267
충남 계룡점,042-841-6665,충남 계룡시 엄사면 번영로 68
부산 신평점,051-203-8643,부산시 사하구 하신중앙로 170
양평 용문점,031-772-4457,경기도 양평군 용문면 다문리 712-4
부천 중동역점,032-667-4312,경기도 부천시 경인로120번길 32
안성 아양점,031-677-1151,경기도 안성시 아양1로 77-31
전남 강진점,061-433-9954,전남 강진군 강진읍 영랑로4길 25
고양 덕이점,031-913-5579,경기도 고양시 일산서구 하이파크1로 77
부산 초량점,051-467-9282,부산시 동구 초량상로 144-1
서울 금호점,02-2292-1253,서울시 성동구 금호동1가 125-2
서울 장지점,02-401-7345,서울시 송파구 새말로 172
용인 보라점,031-282-9576,경기도 용인시 기흥구 한보라2로 17
익산 영등점,063-835-1161,전북 익산시 고봉로30길 3, 106호
충남 내포신도시점,041-338-4456,충남 예산군 삽교읍 수암천로 11
대전 노은점,042-822-4677,대전시 유성구 은구비로 44
인천 가정점,032-575-2168,인천시 서구 가정로 437
성남 금광점,031-733-4750,경기도 성남시 중원구 금빛로61번길 25
인천 간석점,032-888-9783,인천시 남동구 백범로 333
칠곡 석적점,054-977-7745,경북 칠곡군 석적읍 동중리1길 9
동탄 영천점,031-375-7344,경기도 화성시 동탄영천로 108-10
강원 홍천점,033-432-9000,강원도 홍천군 홍천읍 연봉서로2길 9
전남 완도점,061-555-2637,전남 완도군 완도읍 개포로 150
인천 도화점,032-873-6222,인천시 미추홀구 염전로202번길 63
인천 용현점,032-889-6222,인천시 미추홀구 토금남로 2
인천 인하대역점,032-891-9222,인천시 미추홀구 독배로 309
서울 성신여대점,02-929-5399,서울시 성북구 동선동1가 85-70
음성 금왕점,043-877-7974,충북 음성군 금왕읍 대금로 1458-5
익산 동산점,063-852-6343,전북 익산시 서동로16길 34
평택 소사벌점,031-618-9290,경기도 평택시 비전2로 133
수원 정자점,031-268-8226,경기도 수원시 장안구 대평로 27
서울 방이점,02-2203-8882,서울시 송파구 방이동 41-9
서울 천왕점,02-2066-8267,서울시 구로구 천왕동 281 천왕연지타운 2단지 상가동 103호
천안 신부도솔점,041-557-7003,충남 천안시 동남구 신부8길 21 상가1-1, 2동 104호
군산 소룡점,063-466-9448,전북 군산시 공단대로 578
의왕 백운호수점,031-422-0010,경기도 의왕시 바라산로 16
군포 금정점,031-397-7890,경기도 군포시 당산로 214
양주 광적점,031-836-4677,경기도 양주시 광적면 가납리 851-5
부천 역곡점,032-343-5761,경기도 부천시 역곡동 86-4
대구 본리점,053-572-2121,대구시 달서구 본리동 671-8
부산 문현점,051-982-7676,부산시 남구 고동골로 76
화성 향남1지구점,031-352-7377,경기도 화성시 향남읍 행정서로3길 14-13
김천 혁신점,054-430-9696,경북 김천시 용전4로1길 4
시흥 대야점,031-315-8292,경기도 시흥시 비둘기공원7길 39
서울 홍대점,02-324-7779,서울시 마포구 와우산로 140
충주 호암점,043-848-0102,충북 충주시 호암대로 3
대구 수성동점,053-744-4312,대구시 수성구 수성로75길 16
원주 봉산점,033-732-8881,강원도 원주시 오리현길 62-1
서울 보광점,02-749-0540,서울시 용산구 보광동 273-3
광주 용봉점,062-523-3020,광주시 북구 운용로 86
용인 양지점,031-333-4566,경기도 용인시 처인구 양지면 남평로 33
구미 봉곡점,054-454-1010,경북 구미시 봉곡동 239-6
강원 대관령점,033-334-9997,강원도 평창군 대관령면 대관령로 86
강원 사북고한점,033-592-3690,강원도 정선군 사북읍 파랑새길 29
안양 메가트리아점,031-441-1002,경기도 안양시 만안구 덕천로 108
이천 창전점,031-635-7375,경기도 이천시 중리천로 67
부천 옥길점,032-349-9993,경기도 부천시 양지로 205
의왕 계원대학점,031-422-0803,경기도 의왕시 계원대학로 12
창원 용원점,055-541-0901,경남 창원시 진해구 용원동 1343-11
원주 단계점,033-745-9922,강원도 원주시 평원초교길 32
서울 월계광운대점,02-943-0722,서울 노원구 월계동 949 상가 2호
서울 약수점,02-2232-7047,서울시 중구 동호로 193-22
대구 남산점,053-425-2425,대구시 중구 남산동 3012
인천 인하대점,032-876-6067,인천시 미추홀구 인하로 160
제주 화순점,064-794-8003,제주도 서귀포시 안덕면 화순리 317-1
목포 석현점,061-285-4002,전남 목포시 영산로 719-29
경기 안성1점,031-677-5882,경기도 안성시 숭인동 20
강릉 입암점,033-651-5111,강원도 강릉시 월대산로 64
영암 삼호점,061-462-8292,전남 영암군 삼호읍 용앙리 1675-1
서울 염창점,02-3663-1327,서울시 강서구 염창동 273-20
거제 수양점,055-636-0766,경남 거제시 수양로 471
안산 반달섬점,031-496-0496,경기도 안산시 단원구 성곡동 845-6
파주 LCD점,031-947-0844,경기도 파주시 탄현면 엘씨디로241번길 30-2
공주 중동점,041-858-5842,충남 공주시 봉산길 27
전주 효자점,063-222-1587,전북 전주시 완산구 거마평로 147-9
서울 상왕십리역점,02-2282-5592,서울시 성동구 홍익동 614-1
고양 고양동점,031-968-7233,경기도 고양시 덕양구 혜음로 29-9
강원 화천점,033-442-8292,강원도 화천군 화천읍 중앙로 19
천안 차암점,041-569-9399,충남 천안시 서북구 차암동 550
남양주 진접역점,031-575-3196,경기도 남양주시 진접읍 금곡리 1037-8
구미 형곡점,054-456-2337,경북 구미시 신시로 14-1
서울 종로점,02-735-9244,서울시 종로구 삼일대로19길 17
익산 모현점,063-842-8288,전북 익산시 배산로14길 5
청주 용암중흥점,043-288-1994,충북 청주시 상당구 용암북로94번길 56-2
인천 박촌점,032-555-5828,인천시 계양구 동양로 11
평택 고덕점,031-667-9785,경기도 평택시 고덕면 고덕여염6길 86
파주 운정가람점,031-945-9289,경기도 파주시 와동동 1598
삼천포 대방점,055-835-7511,경남 사천시 각산로 140
경북 영천점,054-336-8295,경북 영천시 새말1길 10
구미 송정점,054-456-7733,경북 구미시 송정대로 28
인천 부평역점,032-515-4922,인천시 부평구 부평동 568-5
화성 병점점,031-222-4909,경기도 화성시 병점중앙로 155
울산 태화점,052-243-9807,울산 중구 태화동 479-11
서울 대방점,02-816-5582,서울시 동작구 대방동길 51
의정부 금오점,031-841-3960,경기도 의정부시 금오로 108-16
수원 화서점,031-254-8292,경기도 수원시 팔달구 화서동 184-47
대전 월평선사점,042-478-1511,대전 서구 청사서로 11
진주 이현점,055-745-9285,경남 진주시 서장대로 271-2
제천 하소점,043-647-7285,충북 제천시 원뜰로 25
순천 연향점,061-725-2007,전남 순천시 연향번영3길 3
세종 종촌점,044-866-5809,세종시 달빛로 80 상가 1동 111호
경남 거창점,055-942-9798,경남 거창군 거창읍 중앙로 81
세종 대평점,044-863-2267,세종특별자치시 금남면 용포로 45
밀양 삼랑진점,055-353-8825,경남 밀양시 삼랑진읍 삼랑진로 214
대전 도안점,042-300-4445,대전 서구 도안동 1253
부산 명륜점,051-552-4007,부산시 동래구 복천로 6
사천 삼천포점,055-832-3000,경남 사천시 벌리동 47-1
용인 신갈점,031-285-8999,경기도 용인시 기흥구 신구로53번길 10-10
수원 권선점,031-222-0288,경기도 수원시 권선구 권선동 1258-11
경남 남해점,055-864-9900,경남 남해군 남해읍 화전로96번나길 21
송산 그린시티점,031-357-5772,경기 화성시 수노을중앙로 136 메가타워빌딩 1동 115호
창녕 부곡점,055-536-8006,경남 창녕군 부곡면 온천중앙로 7
서울 은평대조점,02-387-3302,서울 은평구 통일로69길 9
서울 청량리점,02-6465-8253,서울시 동대문구 전농동 602-19
대구 시지매호점,053-791-9989,대구 수성구 매호동 1088-4
부산 헤리센트점,051-362-7999,부산시 북구 산성로 41
포항 우창점,054-231-9595,경북 포항시 북구 우창로 4
강릉 교동점,033-643-4058,강원도 강릉시 교동 1864-9
강원 양양점,033-673-9555,강원 양양군 양양읍 성내리 90
송도 NC큐브점,032-833-5163,인천시 연수구 아트센터대로 87 401동 120호
충북 음성점,043-873-1235,충북 음성군 음성읍 설성로86번길 18
전주 중화산점,063-227-5872,전북 전주시 완산구 한두평3길 14-5
대전 월평점,042-472-7835,대전 서구 월평동 841
거제 고현점,055-632-9295,경남 거제시 고현동 961-96
서울 중림점,02-312-6038,서울 중구 중림동 200
